"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 2021","8,567.07","8,714.99","8,758.98","8,521.42","868.09M","-1.17%"
"Jan 29, 2021","8,668.07","8,975.73","9,025.82","8,622.53","335.96M","-1.63%"
"Jan 27, 2021","8,812.01","8,763.49","8,865.53","8,665.82","497.39M","1.69%"
"Jan 26, 2021","8,665.82","8,754.88","8,798.38","8,623.05","828.67M","-0.33%"
"Jan 25, 2021","8,694.35","8,570.30","8,729.21","8,463.43","995.57M","2.73%"
"Jan 22, 2021","8,463.43","8,250.12","8,491.00","8,131.25","590.37M","4.09%"
"Jan 21, 2021","8,131.25","7,890.85","8,185.46","7,852.70","377.65M","3.13%"
"Jan 20, 2021","7,884.45","7,783.00","7,900.32","7,672.05","287.96M","0.97%"
"Jan 19, 2021","7,808.97","8,008.00","8,023.14","7,752.06","690.06M","-1.43%"
"Jan 18, 2021","7,922.66","7,905.27","8,020.72","7,734.57","506.32M","2.43%"
"Jan 15, 2021","7,734.57","7,503.65","7,761.65","7,443.23","-","3.91%"
"Jan 13, 2021","7,443.23","7,358.55","7,481.24","7,282.24","401.10M","2.21%"
"Jan 12, 2021","7,282.24","7,238.85","7,312.96","7,203.63","544.96M","1.09%"
"Jan 11, 2021","7,203.63","7,132.81","7,222.65","7,119.53","7.76B","1.18%"
"Jan 08, 2021","7,119.53","7,127.46","7,137.41","7,081.09","612.34M","0.31%"
"Jan 07, 2021","7,097.84","7,061.68","7,114.30","7,036.76","1.04B","0.87%"
"Jan 06, 2021","7,036.76","6,988.95","7,043.30","6,942.12","760.07M","0.83%"
"Jan 05, 2021","6,978.86","6,923.75","7,002.16","6,894.98","434.67M","1.22%"
"Jan 04, 2021","6,894.98","6,797.61","6,911.69","6,774.22","380.20M","1.78%"
"Dec 31, 2020","6,774.22","6,758.28","6,778.87","6,748.01","187.07M","0.39%"
"Dec 30, 2020","6,748.01","6,720.02","6,749.12","6,704.89","146.28M","0.64%"
"Dec 28, 2020","6,704.89","6,701.92","6,721.70","6,685.64","59.94M","0.29%"
"Dec 24, 2020","6,685.64","6,641.71","6,698.57","6,629.02","67.82M","0.85%"
"Dec 23, 2020","6,629.02","6,640.16","6,644.15","6,616.40","94.03M","-0.09%"
"Dec 22, 2020","6,634.92","6,632.24","6,648.72","6,622.71","939.24M","0.18%"
"Dec 21, 2020","6,622.71","6,624.74","6,646.08","6,616.95","94.14M","0.09%"
"Dec 18, 2020","6,616.95","6,629.00","6,645.40","6,610.78","116.52M","-0.11%"
"Dec 17, 2020","6,624.15","6,671.98","6,687.80","6,624.15","610.33M","-0.47%"
"Dec 16, 2020","6,655.67","6,645.13","6,666.61","6,631.89","410.41M","0.36%"
"Dec 15, 2020","6,631.89","6,673.47","6,685.55","6,625.35","221.31M","-0.37%"
"Dec 14, 2020","6,656.64","6,632.70","6,679.66","6,614.56","168.24M","0.64%"
"Dec 11, 2020","6,614.56","6,622.01","6,624.23","6,580.52","305.87M","0.08%"
"Dec 10, 2020","6,609.39","6,630.22","6,635.74","6,590.25","476.73M","0.07%"
"Dec 09, 2020","6,605.09","6,592.08","6,633.07","6,540.76","599.59M","0.63%"
"Dec 08, 2020","6,564.00","6,489.54","6,582.15","6,473.76","326.19M","1.39%"
"Dec 07, 2020","6,473.76","6,410.22","6,484.88","6,397.56","213.47M","1.19%"
"Dec 04, 2020","6,397.56","6,362.01","6,409.46","6,357.46","236.14M","0.59%"
"Dec 03, 2020","6,359.99","6,356.63","6,366.64","6,332.08","146.70M","0.22%"
"Dec 02, 2020","6,345.84","6,342.43","6,370.28","6,317.46","111.54M","0.45%"
"Dec 01, 2020","6,317.46","6,256.58","6,333.25","6,243.76","111.90M","1.18%"
"Nov 30, 2020","6,243.76","6,196.25","6,249.46","6,180.86","82.78M","1.02%"
"Nov 27, 2020","6,180.86","6,152.60","6,192.80","6,148.12","69.08M","0.53%"
"Nov 26, 2020","6,148.12","6,152.33","6,168.23","6,141.79","69.08M","0.10%"
"Nov 25, 2020","6,141.79","6,100.07","6,145.74","6,087.66","88.36M","0.89%"
"Nov 24, 2020","6,087.66","6,076.90","6,100.41","6,072.07","46.98M","0.26%"
"Nov 23, 2020","6,072.07","6,095.07","6,103.52","6,067.62","39.04M","-0.21%"
"Nov 20, 2020","6,085.00","6,074.00","6,107.23","6,060.89","51.13M","0.40%"
"Nov 19, 2020","6,060.89","6,111.41","6,114.35","6,060.89","117.82M","-0.77%"
"Nov 18, 2020","6,108.22","6,135.92","6,143.34","6,085.86","117.82M","-0.01%"
"Nov 17, 2020","6,108.93","6,085.30","6,114.68","6,076.92","89.73M","0.53%"
"Nov 16, 2020","6,076.92","6,098.01","6,111.99","6,065.18","70.92M","-0.09%"
"Nov 13, 2020","6,082.42","6,092.85","6,104.06","6,075.12","70.92M","-0.14%"
"Nov 12, 2020","6,090.97","6,108.47","6,113.44","6,053.55","90.47M","-0.11%"
"Nov 11, 2020","6,097.93","6,115.72","6,128.57","6,031.90","90.17M","0.03%"
"Nov 10, 2020","6,095.89","6,147.18","6,169.25","6,082.30","129.76M","-0.30%"
"Nov 09, 2020","6,114.50","6,141.03","6,154.81","6,074.87","225.15M","0.57%"
"Nov 06, 2020","6,080.09","6,038.97","6,094.03","6,004.11","215.70M","1.27%"
"Nov 05, 2020","6,004.11","5,937.47","6,017.96","5,905.91","217.70M","1.66%"
"Nov 04, 2020","5,905.91","5,863.45","5,925.19","5,843.27","242.14M","1.07%"
"Nov 03, 2020","5,843.27","5,733.42","5,857.51","5,713.58","168.98M","2.27%"
"Nov 02, 2020","5,713.58","5,707.59","5,748.44","5,707.59","70.94M","-0.23%"
"Oct 29, 2020","5,726.59","5,613.93","5,747.65","5,600.20","65.11M","2.26%"
"Oct 28, 2020","5,600.20","5,689.26","5,724.52","5,572.82","64.63M","-1.41%"
"Oct 27, 2020","5,680.28","5,673.92","5,707.66","5,669.33","55.27M","0.19%"
"Oct 26, 2020","5,669.33","5,671.12","5,768.94","5,637.94","70.61M","-1.73%"
"Oct 23, 2020","5,768.94","5,828.07","5,862.56","5,768.94","105.00M","-0.05%"
"Oct 22, 2020","5,771.89","5,647.86","5,796.43","5,613.62","147.10M","1.53%"
"Oct 21, 2020","5,684.67","5,929.99","5,937.09","5,667.52","196.61M","-4.21%"
"Oct 20, 2020","5,934.23","5,962.08","5,966.27","5,905.88","107.81M","-0.20%"
"Oct 19, 2020","5,946.08","5,973.12","5,987.66","5,945.79","139.86M","0.00%"
"Oct 16, 2020","5,945.79","5,935.99","5,968.24","5,897.67","195.49M","0.44%"
"Oct 15, 2020","5,920.00","5,919.79","5,940.39","5,890.13","211.32M","0.51%"
"Oct 14, 2020","5,890.13","5,818.63","5,920.22","5,796.22","465.28M","1.50%"
"Oct 13, 2020","5,802.97","5,849.74","5,879.39","5,790.10","582.04M","-0.65%"
"Oct 12, 2020","5,841.05","5,814.18","5,869.26","5,798.72","360.51M","0.73%"
"Oct 09, 2020","5,798.72","5,754.88","5,832.37","5,724.54","214.04M","1.30%"
"Oct 08, 2020","5,724.54","5,565.20","5,733.70","5,553.22","143.45M","3.09%"
"Oct 07, 2020","5,553.22","5,508.74","5,611.99","5,499.69","113.52M","0.34%"
"Oct 06, 2020","5,534.61","5,482.87","5,760.01","5,390.81","163.32M","-0.94%"
"Oct 05, 2020","5,587.18","5,871.45","6,050.17","5,536.93","268.77M","-7.65%"
"Oct 02, 2020","6,050.17","5,997.96","6,075.27","5,984.84","215.06M","1.09%"
"Sep 30, 2020","5,984.84","5,991.74","6,004.13","5,936.70","142.96M","-0.15%"
"Sep 29, 2020","5,993.55","6,028.84","6,031.63","5,936.85","163.08M","-0.57%"
"Sep 28, 2020","6,028.20","5,883.46","6,040.44","5,859.04","217.72M","2.89%"
"Sep 25, 2020","5,859.04","5,820.06","5,878.30","5,811.20","453.96M","0.82%"
"Sep 24, 2020","5,811.20","5,783.94","5,813.30","5,772.10","403.67M","0.68%"
"Sep 23, 2020","5,772.10","5,803.89","5,804.48","5,738.87","158.31M","-0.15%"
"Sep 22, 2020","5,780.94","5,786.30","5,804.03","5,762.71","134.19M","0.32%"
"Sep 21, 2020","5,762.71","5,743.75","5,767.58","5,679.03","199.66M","0.73%"
"Sep 18, 2020","5,720.67","5,678.50","5,727.54","5,658.66","182.01M","1.10%"
